asv id,latitude,longitude,name,desc,color,source,precision
310,46.910246,8.562013,"Isenthal, Switzerland","Isenthal, URI, CH",,MapQuest,city/town
311,46.967117,8.474879,"Beckenried, Switzerland","Beckenried, NIDWALDEN, CH",,MapQuest,city/town
312,46.957061,8.366103,"Stans, Switzerland","Stans, NIDWALDEN, CH",,MapQuest,city/town
313,46.941166,8.273683,"Alpnach, Switzerland","Alpnach, OBWALDEN, CH",,MapQuest,city/town
314,46.895673,8.246149,"Sarnen, Switzerland","Sarnen, OBWALDEN, CH",,MapQuest,city/town
315,46.78573,8.160728,"Lungern, Switzerland","Lungern, OBWALDEN, CH",,MapQuest,city/town
316,46.82235,8.4044,"Engelberg, Switzerland","Engelberg, OBWALDEN, CH",,MapQuest,city/town
317,46.771079,8.670326,"Amsteg, Switzerland","Amsteg, URI, CH",,MapQuest,city/town
318,46.707128,8.59944,"Wassen, Switzerland","Wassen, URI, CH",,MapQuest,city/town
319,46.63405,8.594815,"Andermatt, Switzerland","Andermatt, URI, CH",,MapQuest,city/town
320,46.681934,8.774525,"Sedrun, Switzerland","Sedrun, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
321,46.704175,8.854979,"Mustèr, Switzerland","Disentis/Mustér, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
322,46.000619,8.935122,"Surrhein-Sumvitg, Switzerland","Sorengo, TICINO, CH",,MapQuest,city/town
323,46.767563,9.062285,"Breil, Switzerland","Breil/Brigels, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
324,46.723594,9.0721,"Obersaxen, Switzerland","Obersaxen, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
325,46.775575,9.205496,"Ilanz, Switzerland","Ilanz, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
326,46.833244,9.283456,"Flims, Switzerland","Flims, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
327,46.835127,9.450686,"Domat, Switzerland","Domat/Ems, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
328,46.855515,9.525407,"Chur, Switzerland","Chur, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
329,46.820889,9.712358,"Langwies, Switzerland","Langwies, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
330,46.796174,9.823727,"Davos, Switzerland","Davos, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
331,46.944242,10.360084,"Samnaun, Switzerland","Samnaun, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
332,46.869185,10.425427,"Tschlin, Switzerland","Tschlin, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
333,46.796281,10.29763,"Scuol, Switzerland","Scuol, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
334,46.749376,10.079741,"Susch, Switzerland","Susch, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
335,46.707128,8.59944,"Wiesen, Switzerland","Wassen, URI, CH",,MapQuest,city/town
336,46.779725,9.678136,"Arosa, Switzerland","Arosa, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
337,46.778453,9.542968,"Churwalden, Switzerland","Churwalden, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
